attendance_percentage,absence_streak,late_count,attendance_trend,classes_attended,classes_missed,quiz_average,assignment_average,learning_minutes,course_completion,previous_exam_score,recent_score_trend,risk_label,predicted_performance,engagement_level,is_anomaly
84.3,0,1,0.035,38,7,67.3,76.1,470.2,65.8,59.8,-0.261,LOW,72.9,HIGH,1
81.5,0,1,0.434,42,10,78.5,67.8,396.7,80.4,78.6,-0.088,LOW,77.6,HIGH,1
80.2,0,1,0.406,42,10,84.2,88.9,329.9,84.2,85.3,-0.244,LOW,83.3,HIGH,1
69.1,0,1,-0.477,35,16,50.3,81.0,303.4,63.4,70.5,0.095,MEDIUM,67.9,MEDIUM,1
97.1,0,1,-0.01,40,1,82.3,87.3,511.7,88.5,73.8,0.169,LOW,81.6,HIGH,1
67.5,0,3,-0.382,40,19,84.2,79.9,418.0,69.7,88.5,0.422,MEDIUM,81.9,MEDIUM,1
89.0,1,6,-0.025,45,6,92.0,67.9,458.6,69.4,98.2,0.152,LOW,89.4,HIGH,1
74.7,0,2,-0.375,42,14,72.1,63.5,280.0,76.0,64.6,-0.069,LOW,69.5,MEDIUM,1
79.9,0,4,0.215,36,9,62.9,81.5,403.5,77.4,66.3,-0.244,LOW,69.0,HIGH,1
91.2,0,2,0.124,42,4,63.6,68.0,352.8,86.1,67.9,0.062,LOW,71.2,HIGH,1
94.4,0,4,0.002,42,3,92.8,99.0,436.7,87.9,96.6,-0.221,LOW,94.3,HIGH,1
66.2,2,3,-0.168,28,15,61.7,63.0,308.7,48.1,49.0,0.304,MEDIUM,59.2,MEDIUM,1
82.2,0,6,0.198,39,9,83.7,62.2,370.4,73.4,82.9,-0.104,LOW,74.6,MEDIUM,1
83.0,0,1,0.45,37,7,90.4,69.9,391.8,78.5,70.5,0.365,LOW,82.1,MEDIUM,1
61.7,0,2,0.019,30,19,56.7,58.7,275.3,61.8,65.3,0.071,LOW,58.8,MEDIUM,1
86.1,0,5,0.41,46,8,73.9,79.9,297.8,83.3,63.1,-0.145,LOW,78.0,MEDIUM,1
66.2,3,2,-0.519,31,16,81.9,72.7,288.9,66.6,74.0,0.111,MEDIUM,77.8,MEDIUM,1
75.3,1,4,-0.236,32,11,70.3,64.8,369.1,69.3,76.3,-0.019,LOW,69.6,MEDIUM,1
78.4,0,0,0.385,35,9,81.1,75.4,421.1,77.0,74.6,-0.096,LOW,81.4,HIGH,1
79.3,1,1,0.612,36,10,70.7,67.7,360.5,80.6,78.2,0.281,LOW,67.1,MEDIUM,1
68.7,3,4,0.005,31,14,55.4,81.1,334.3,73.3,65.8,0.029,MEDIUM,66.1,HIGH,1
88.8,0,2,0.199,46,6,85.6,69.3,390.0,71.9,80.9,-0.092,LOW,73.7,HIGH,1
58.8,3,2,-0.248,34,24,82.6,81.4,310.5,66.9,78.6,0.361,MEDIUM,69.0,MEDIUM,1
84.0,0,6,0.958,41,8,81.9,77.1,361.0,78.4,73.5,0.292,LOW,71.1,HIGH,1
73.8,3,3,0.35,40,14,79.3,80.1,295.0,66.0,92.2,-0.211,MEDIUM,84.5,MEDIUM,1
81.3,0,2,0.04,34,8,83.2,64.7,398.5,65.7,78.1,-0.077,LOW,73.7,HIGH,1
81.4,0,2,0.695,46,11,95.7,74.3,388.3,76.8,77.0,-0.13,LOW,80.6,HIGH,1
68.0,0,2,0.267,36,17,65.2,90.2,361.9,91.8,78.2,0.73,LOW,74.0,HIGH,1
79.7,0,3,-0.33,33,9,48.2,70.5,344.6,81.1,47.6,0.022,LOW,56.2,HIGH,1
78.6,0,2,-0.268,39,11,89.5,79.1,402.5,77.2,84.5,0.032,LOW,85.7,HIGH,1
75.5,0,2,0.038,37,12,55.1,69.9,321.6,65.4,52.8,-0.1,LOW,64.8,HIGH,1
73.6,3,1,0.483,41,15,66.0,68.5,280.6,60.2,61.7,-0.257,MEDIUM,67.2,MEDIUM,1
82.4,0,1,-0.074,43,9,66.7,89.2,313.2,92.2,75.8,0.33,LOW,77.3,HIGH,1
63.5,1,1,-0.556,26,15,57.2,82.6,280.2,79.7,68.6,0.049,MEDIUM,65.6,MEDIUM,1
48.3,2,1,-0.006,25,27,70.1,43.0,315.3,56.0,53.9,0.375,MEDIUM,56.2,MEDIUM,1
